gene_name,amyloid,gpath,tangles,cogdx,n_traits_DE
CD59,TRUE,TRUE,TRUE,TRUE,4
C11orf96,TRUE,TRUE,TRUE,TRUE,4
CRY2,TRUE,TRUE,TRUE,TRUE,4
MAPK8IP1,TRUE,TRUE,TRUE,TRUE,4
PHF21A,TRUE,TRUE,TRUE,TRUE,4
LRP4-AS1,TRUE,TRUE,TRUE,TRUE,4
PSMC3,TRUE,FALSE,TRUE,TRUE,3
NDUFS3,TRUE,TRUE,TRUE,TRUE,4
SERPING1,TRUE,TRUE,TRUE,TRUE,4
TMEM258,TRUE,TRUE,TRUE,TRUE,4
FADS3,TRUE,TRUE,TRUE,TRUE,4
FTH1,TRUE,TRUE,TRUE,TRUE,4
TMEM179B,TRUE,TRUE,TRUE,TRUE,4
DNAJC4,TRUE,TRUE,FALSE,TRUE,3
FKBP2,TRUE,TRUE,TRUE,TRUE,4
PPP1R14B,TRUE,TRUE,TRUE,TRUE,4
SF1,TRUE,TRUE,TRUE,TRUE,4
TM7SF2,TRUE,TRUE,TRUE,TRUE,4
FAU,TRUE,TRUE,TRUE,TRUE,4
CFL1,TRUE,TRUE,TRUE,TRUE,4
YIF1A,TRUE,TRUE,TRUE,TRUE,4
RBM14-RBM4,TRUE,TRUE,TRUE,TRUE,4
GSTP1,TRUE,TRUE,TRUE,TRUE,4
LAMTOR1,TRUE,TRUE,TRUE,TRUE,4
ANAPC15,TRUE,TRUE,TRUE,TRUE,4
ARRB1,TRUE,TRUE,TRUE,TRUE,4
RPS3,TRUE,TRUE,TRUE,TRUE,4
EMSY,TRUE,TRUE,TRUE,TRUE,4
EED,TRUE,TRUE,TRUE,FALSE,3
SRSF8,TRUE,TRUE,TRUE,TRUE,4
DCUN1D5,TRUE,TRUE,FALSE,TRUE,3
SIK2,TRUE,TRUE,TRUE,TRUE,4
PTS,TRUE,TRUE,TRUE,TRUE,4
SIDT2,TRUE,TRUE,TRUE,TRUE,4
TAGLN,TRUE,TRUE,TRUE,TRUE,4
RPS25,TRUE,TRUE,TRUE,TRUE,4
ARHGEF12,TRUE,TRUE,TRUE,TRUE,4
ZMYND11,TRUE,TRUE,TRUE,TRUE,4
NEBL,TRUE,TRUE,TRUE,TRUE,4
BAMBI,TRUE,TRUE,TRUE,TRUE,4
ZEB1,TRUE,TRUE,TRUE,TRUE,4
ZNF33A,TRUE,TRUE,TRUE,TRUE,4
RASGEF1A,TRUE,TRUE,TRUE,TRUE,4
OGDHL,TRUE,TRUE,FALSE,FALSE,2
HNRNPH3,TRUE,TRUE,TRUE,TRUE,4
SUPV3L1,TRUE,TRUE,TRUE,TRUE,4
PPA1,TRUE,TRUE,TRUE,TRUE,4
SLC29A3,TRUE,TRUE,TRUE,TRUE,4
CAMK2G,TRUE,TRUE,TRUE,TRUE,4
TBC1D12,TRUE,TRUE,TRUE,TRUE,4
PGAM1,TRUE,TRUE,TRUE,TRUE,4
HPS1,TRUE,TRUE,TRUE,FALSE,3
BLOC1S2,TRUE,TRUE,TRUE,TRUE,4
OLMALINC,TRUE,TRUE,TRUE,TRUE,4
HIF1AN,TRUE,TRUE,TRUE,TRUE,4
SLF2,TRUE,TRUE,TRUE,TRUE,4
BTRC,TRUE,TRUE,FALSE,TRUE,3
DPCD,TRUE,TRUE,TRUE,TRUE,4
PDCD11,TRUE,TRUE,TRUE,TRUE,4
PLEKHA1,TRUE,TRUE,TRUE,TRUE,4
LHPP,TRUE,TRUE,TRUE,TRUE,4
BCCIP,TRUE,TRUE,TRUE,TRUE,4
INPP5A,TRUE,TRUE,TRUE,TRUE,4
GAPDH,TRUE,TRUE,TRUE,TRUE,4
CHD4,TRUE,FALSE,TRUE,TRUE,3
COPS7A,TRUE,TRUE,TRUE,TRUE,4
